MeSH (Medical Subject Headings) Symptom Term Concatenado
Abdômen; agudo
Abdômen; agudo
Afasia; Broca
Afasia; Broca
Afasia; condução
Afasia; condução
Afasia; progressiva primária
Afasia; progressiva primária
Afasia; Wernicke
Afasia; Wernicke
Akithia; induzida por drogas
Akithia; induzida por drogas
Alexia; pura
Alexia; pura
Amnésia; anterógrada
Amnésia; anterógrada
Amnésia; Global Transiente
Amnésia; Global Transiente
Amnésia; retrógrada
Amnésia; retrógrada
Angina; instável
Angina; instável
Apraxia; ideomotor
Apraxia; ideomotor
Baú da angina; varia
Baú da angina; varia
Bexiga urinária; hiperativa
Bexiga urinária; hiperativa
Bexiga urinária; neurogênica
Bexiga urinária; neurogênica
Cegueira; cortical
Cegueira; cortical
Débito cardíaco; alto
Débito cardíaco; alto
Débito cardíaco; baixo
Débito cardíaco; baixo
Diarréia; infantil
Diarréia; infantil
Dislexia; adquirida
Dislexia; adquirida
Dispnéia; paroxística
Dispnéia; paroxística
Distúrbios da marcha; neurológicos
Distúrbios da marcha; neurológicos
Dor; intratável
Dor; intratável
Dor; pós-operatório
Dor; pós-operatório
Dor; referida
Dor; referida
Edema; cardíaco
Edema; cardíaco
Envelhecimento; prematuro
Envelhecimento; prematuro
Icterícia; obstrutiva
Icterícia; obstrutiva
Incontinência urinária; desejar
Incontinência urinária; desejar
Incontinência urinária; estresse
Incontinência urinária; estresse
Obesidade; mórbida
Obesidade; mórbida
Ophthalmoplegia; externo progressivo crônico
Ophthalmoplegia; externo progressivo crônico
Paralisia supranuclear; progressiva
Paralisia supranuclear; progressiva
Paraparesia; espástica
Paraparesia; espástica
Perda auditiva; alta frequência
Perda auditiva; alta frequência
Perda auditiva; bilateral
Perda auditiva; bilateral
Perda auditiva; central
Perda auditiva; central
Perda auditiva; condutor
Perda auditiva; condutor
Perda auditiva; funcional
Perda auditiva; funcional
Perda auditiva; induzida por ruído
Perda auditiva; induzida por ruído
Perda auditiva; mista-sensorineural
Perda auditiva; mista-sensorineural
Perda auditiva; neurinhaural
Perda auditiva; neurinhaural
Perda auditiva; repentina
Perda auditiva; repentina
Perda auditiva; unilateral
Perda auditiva; unilateral
Púrpura; hiperglobulinêmico
Púrpura; hiperglobulinêmico
Púrpura; Schoenlein-Henoch
Púrpura; Schoenlein-Henoch
Púrpura; trombocitopênico
Púrpura; trombocitopênico
Púrpura; trombocitopênico trombótico
Púrpura; trombocitopênico trombótico
Púrpura; trombocitopênico; idiopático
Púrpura; trombocitopênico; idiopático
Púrpura; trombocitopênico; idiopático
Reflex; Babinski
Reflex; Babinski
Reflexo; anormal
Reflexo; anormal
Síncope; Vasovagal
Síncope; Vasovagal
Visão; baixa
Visão; baixa
